Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU06870.7	CT16.3_protein	1.848048096156426	False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU00447.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU00302.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU06465.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU06761.7	CT16.3_protein	0.7580781044003313	False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU02969.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU10359.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU04721.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU07937.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU03504.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU07761.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU02282.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU03492.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU02468.7	CT16.3_protein	1.309016994374948	False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU00008.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU09646.7	CT16.3_protein	0.3843385246743412	False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU04796.7	CT16.3_protein	0.021852399266194308	False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU05558.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU04380.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU06063.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU03929.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU01654.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU02287.7	CT16.3_protein	0.8954715367323469	False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU08924.7	CT16.3_protein	0.3843385246743412	False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU09885.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU00299.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU06448.7	CT16.3_protein		False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU08828.7	CT16.3_protein	0.8954715367323469	False	16.3	protein	Fatty-Acid-and-Lipid-Degradation
Average	CT16.3_protein	0.8120769646264095	True	16.3	protein	Fatty-Acid-and-Lipid-Degradation
NCU02299.7	CT18.4_RNA	0.021852399266194308	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06005.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06870.7	CT18.4_RNA	0.06030737921409146	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU00447.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU00302.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06465.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06761.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02969.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU10359.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU04721.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU07937.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU03504.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU07761.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02282.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU03492.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02468.7	CT18.4_RNA	0.8954715367323469	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU00008.7	CT18.4_RNA	0.7580781044003333	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU09646.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU04796.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU05558.7	CT18.4_RNA	2.0	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU04380.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06063.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU03929.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU01654.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02287.7	CT18.4_RNA	0.2806601996613481	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU08924.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU09885.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU00299.7	CT18.4_RNA		False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06448.7	CT18.4_RNA	0.8954715367323458	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU08828.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
Average	CT18.4_RNA	1.1047247642673708	True	18.4	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02299.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU06005.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU06870.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU00447.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU00302.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU06465.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU06761.7	CT18.4_protein	0.2806601996613481	False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU02969.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU10359.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU04721.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU07937.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU03504.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU07761.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU02282.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU03492.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU02468.7	CT18.4_protein	0.7580781044003333	False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU00008.7	CT18.4_protein		False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
NCU09646.7	CT18.4_protein	0.8954715367323458	False	18.4	protein	Fatty-Acid-and-Lipid-Degradation
