Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU04721.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU07937.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU03504.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU07761.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU02282.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU03492.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU06342.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU10400.7	CT16.3_protein	0.28066019966134903	False	16.3	protein	Lipid-Biosynthesis
NCU03955.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU02726.7	CT16.3_protein	1.848048096156426	False	16.3	protein	Lipid-Biosynthesis
NCU04289.7	CT16.3_protein	1.4383711467890776	False	16.3	protein	Lipid-Biosynthesis
NCU05259.7	CT16.3_protein	2.0	False	16.3	protein	Lipid-Biosynthesis
NCU02408.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU02209.7	CT16.3_protein	1.848048096156426	False	16.3	protein	Lipid-Biosynthesis
NCU09497.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU03929.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU03176.7	CT16.3_protein	1.848048096156426	False	16.3	protein	Lipid-Biosynthesis
NCU03880.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU01993.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU03223.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU07307.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU07308.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU04380.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU06063.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU01654.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU00580.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU02624.7	CT16.3_protein	2.0	False	16.3	protein	Lipid-Biosynthesis
NCU08762.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU06402.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU02693.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU05991.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU03006.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU04156.7	CT16.3_protein	1.848048096156426	False	16.3	protein	Lipid-Biosynthesis
NCU06207.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU01333.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU01175.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU02571.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU03922.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU00712.7	CT16.3_protein	1.848048096156426	False	16.3	protein	Lipid-Biosynthesis
NCU03633.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU08671.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU11381.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU07719.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU06054.7	CT16.3_protein	0.021852399266194308	False	16.3	protein	Lipid-Biosynthesis
NCU08280.7	CT16.3_protein	1.4383711467890776	False	16.3	protein	Lipid-Biosynthesis
NCU01141.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU01371.7	CT16.3_protein		False	16.3	protein	Lipid-Biosynthesis
NCU01119.7	CT16.3_protein	1.4383711467890776	False	16.3	protein	Lipid-Biosynthesis
Average	CT16.3_protein	1.4515339810005738	True	16.3	protein	Lipid-Biosynthesis
NCU06694.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU08976.7	CT18.4_RNA	2.0	False	18.4	RNA	Lipid-Biosynthesis
NCU08927.7	CT18.4_RNA	0.8954715367323469	False	18.4	RNA	Lipid-Biosynthesis
NCU02468.7	CT18.4_RNA	0.8954715367323469	False	18.4	RNA	Lipid-Biosynthesis
NCU06870.7	CT18.4_RNA	0.06030737921409146	False	18.4	RNA	Lipid-Biosynthesis
NCU00447.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	Lipid-Biosynthesis
NCU00302.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU06465.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU06761.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU00008.7	CT18.4_RNA	0.7580781044003333	False	18.4	RNA	Lipid-Biosynthesis
NCU02969.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU10359.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU04721.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU07937.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU03504.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	Lipid-Biosynthesis
NCU07761.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU02282.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU03492.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU06342.7	CT18.4_RNA	0.2806601996613481	False	18.4	RNA	Lipid-Biosynthesis
NCU10400.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Lipid-Biosynthesis
NCU03955.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU02726.7	CT18.4_RNA	0.2806601996613481	False	18.4	RNA	Lipid-Biosynthesis
NCU04289.7	CT18.4_RNA	0.021852399266194308	False	18.4	RNA	Lipid-Biosynthesis
NCU05259.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	Lipid-Biosynthesis
NCU02408.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Lipid-Biosynthesis
NCU02209.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	Lipid-Biosynthesis
NCU09497.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU03929.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Lipid-Biosynthesis
NCU03176.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU03880.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU01993.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	Lipid-Biosynthesis
NCU03223.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU07307.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	Lipid-Biosynthesis
NCU07308.7	CT18.4_RNA	0.7580781044003333	False	18.4	RNA	Lipid-Biosynthesis
NCU04380.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU06063.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU01654.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU00580.7	CT18.4_RNA	0.8954715367323458	False	18.4	RNA	Lipid-Biosynthesis
NCU02624.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU08762.7	CT18.4_RNA	2.0	False	18.4	RNA	Lipid-Biosynthesis
NCU06402.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU02693.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU05991.7	CT18.4_RNA	0.8954715367323469	False	18.4	RNA	Lipid-Biosynthesis
NCU03006.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU04156.7	CT18.4_RNA	0.2806601996613481	False	18.4	RNA	Lipid-Biosynthesis
NCU06207.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU01333.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU01175.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Lipid-Biosynthesis
NCU02571.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU03922.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Lipid-Biosynthesis
NCU00712.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Lipid-Biosynthesis
NCU03633.7	CT18.4_RNA	0.8954715367323458	False	18.4	RNA	Lipid-Biosynthesis
NCU08671.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	Lipid-Biosynthesis
NCU11381.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU07719.7	CT18.4_RNA	0.8954715367323458	False	18.4	RNA	Lipid-Biosynthesis
NCU06054.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU08280.7	CT18.4_RNA	0.06030737921409146	False	18.4	RNA	Lipid-Biosynthesis
NCU01141.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU01371.7	CT18.4_RNA		False	18.4	RNA	Lipid-Biosynthesis
NCU01119.7	CT18.4_RNA	0.06030737921409146	False	18.4	RNA	Lipid-Biosynthesis
Average	CT18.4_RNA	1.1030209056516453	True	18.4	RNA	Lipid-Biosynthesis
NCU06694.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU08976.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU08927.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU02468.7	CT18.4_protein	0.7580781044003333	False	18.4	protein	Lipid-Biosynthesis
NCU06870.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	Lipid-Biosynthesis
NCU00447.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU00302.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU06465.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU06761.7	CT18.4_protein	0.2806601996613481	False	18.4	protein	Lipid-Biosynthesis
NCU00008.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU02969.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU10359.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU04721.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU07937.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU03504.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU07761.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU02282.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU03492.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU06342.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU10400.7	CT18.4_protein	0.021852399266194308	False	18.4	protein	Lipid-Biosynthesis
NCU03955.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU02726.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	Lipid-Biosynthesis
NCU04289.7	CT18.4_protein	0.8954715367323469	False	18.4	protein	Lipid-Biosynthesis
NCU05259.7	CT18.4_protein	1.848048096156426	False	18.4	protein	Lipid-Biosynthesis
NCU02408.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU02209.7	CT18.4_protein	2.0	False	18.4	protein	Lipid-Biosynthesis
NCU09497.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU03929.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU03176.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	Lipid-Biosynthesis
NCU03880.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU01993.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU03223.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU07307.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU07308.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU04380.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU06063.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU01654.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU00580.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU02624.7	CT18.4_protein	1.848048096156426	False	18.4	protein	Lipid-Biosynthesis
NCU08762.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU06402.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU02693.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU05991.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU03006.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU04156.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	Lipid-Biosynthesis
NCU06207.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU01333.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU01175.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU02571.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU03922.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU00712.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	Lipid-Biosynthesis
NCU03633.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU08671.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU11381.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU07719.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU06054.7	CT18.4_protein	0.06030737921409146	False	18.4	protein	Lipid-Biosynthesis
NCU08280.7	CT18.4_protein	0.8954715367323469	False	18.4	protein	Lipid-Biosynthesis
NCU01141.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU01371.7	CT18.4_protein		False	18.4	protein	Lipid-Biosynthesis
NCU01119.7	CT18.4_protein	0.8954715367323469	False	18.4	protein	Lipid-Biosynthesis
Average	CT18.4_protein	1.1130176412664832	True	18.4	protein	Lipid-Biosynthesis
NCU06694.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU08976.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	Lipid-Biosynthesis
NCU08927.7	CT20.5_RNA	0.38433852467434215	False	20.5	RNA	Lipid-Biosynthesis
NCU02468.7	CT20.5_RNA	0.38433852467434215	False	20.5	RNA	Lipid-Biosynthesis
NCU06870.7	CT20.5_RNA	0.3843385246743412	False	20.5	RNA	Lipid-Biosynthesis
NCU00447.7	CT20.5_RNA	2.0	False	20.5	RNA	Lipid-Biosynthesis
NCU00302.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU06465.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU06761.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU00008.7	CT20.5_RNA	0.2806601996613497	False	20.5	RNA	Lipid-Biosynthesis
NCU02969.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU10359.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU04721.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU07937.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU03504.7	CT20.5_RNA	1.4383711467890776	False	20.5	RNA	Lipid-Biosynthesis
NCU07761.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU02282.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU03492.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU06342.7	CT20.5_RNA	0.021852399266194308	False	20.5	RNA	Lipid-Biosynthesis
NCU10400.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	Lipid-Biosynthesis
NCU03955.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU02726.7	CT20.5_RNA	0.021852399266194308	False	20.5	RNA	Lipid-Biosynthesis
NCU04289.7	CT20.5_RNA	0.06030737921409146	False	20.5	RNA	Lipid-Biosynthesis
NCU05259.7	CT20.5_RNA	1.4383711467890776	False	20.5	RNA	Lipid-Biosynthesis
NCU02408.7	CT20.5_RNA	0.8954715367323469	False	20.5	RNA	Lipid-Biosynthesis
NCU02209.7	CT20.5_RNA	1.4383711467890776	False	20.5	RNA	Lipid-Biosynthesis
NCU09497.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU03929.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	Lipid-Biosynthesis
NCU03176.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU03880.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU01993.7	CT20.5_RNA	1.4383711467890776	False	20.5	RNA	Lipid-Biosynthesis
NCU03223.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU07307.7	CT20.5_RNA	1.4383711467890776	False	20.5	RNA	Lipid-Biosynthesis
NCU07308.7	CT20.5_RNA	0.2806601996613497	False	20.5	RNA	Lipid-Biosynthesis
NCU04380.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU06063.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU01654.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU00580.7	CT20.5_RNA	1.4383711467890763	False	20.5	RNA	Lipid-Biosynthesis
NCU02624.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU08762.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	Lipid-Biosynthesis
NCU06402.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU02693.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU05991.7	CT20.5_RNA	0.38433852467434215	False	20.5	RNA	Lipid-Biosynthesis
NCU03006.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU04156.7	CT20.5_RNA	0.021852399266194308	False	20.5	RNA	Lipid-Biosynthesis
NCU06207.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU01333.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU01175.7	CT20.5_RNA	0.8954715367323469	False	20.5	RNA	Lipid-Biosynthesis
NCU02571.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU03922.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	Lipid-Biosynthesis
NCU00712.7	CT20.5_RNA	0.8954715367323469	False	20.5	RNA	Lipid-Biosynthesis
NCU03633.7	CT20.5_RNA	1.4383711467890763	False	20.5	RNA	Lipid-Biosynthesis
NCU08671.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	Lipid-Biosynthesis
NCU11381.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU07719.7	CT20.5_RNA	1.4383711467890763	False	20.5	RNA	Lipid-Biosynthesis
NCU06054.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU08280.7	CT20.5_RNA	0.3843385246743412	False	20.5	RNA	Lipid-Biosynthesis
NCU01141.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU01371.7	CT20.5_RNA		False	20.5	RNA	Lipid-Biosynthesis
NCU01119.7	CT20.5_RNA	0.3843385246743412	False	20.5	RNA	Lipid-Biosynthesis
Average	CT20.5_RNA	1.0091629495276544	True	20.5	RNA	Lipid-Biosynthesis
NCU06694.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU08976.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU08927.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU02468.7	CT20.5_protein	0.2806601996613497	False	20.5	protein	Lipid-Biosynthesis
NCU06870.7	CT20.5_protein	0.8954715367323469	False	20.5	protein	Lipid-Biosynthesis
NCU00447.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU00302.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU06465.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU06761.7	CT20.5_protein	0.021852399266194308	False	20.5	protein	Lipid-Biosynthesis
NCU00008.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU02969.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU10359.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU04721.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU07937.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU03504.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU07761.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU02282.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU03492.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU06342.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU10400.7	CT20.5_protein	0.06030737921409146	False	20.5	protein	Lipid-Biosynthesis
NCU03955.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU02726.7	CT20.5_protein	0.8954715367323469	False	20.5	protein	Lipid-Biosynthesis
NCU04289.7	CT20.5_protein	0.38433852467434215	False	20.5	protein	Lipid-Biosynthesis
NCU05259.7	CT20.5_protein	1.4383711467890776	False	20.5	protein	Lipid-Biosynthesis
NCU02408.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU02209.7	CT20.5_protein	1.848048096156426	False	20.5	protein	Lipid-Biosynthesis
NCU09497.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU03929.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU03176.7	CT20.5_protein	0.8954715367323469	False	20.5	protein	Lipid-Biosynthesis
NCU03880.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU01993.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU03223.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU07307.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU07308.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU04380.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU06063.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU01654.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU00580.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU02624.7	CT20.5_protein	1.4383711467890776	False	20.5	protein	Lipid-Biosynthesis
NCU08762.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU06402.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU02693.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU05991.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU03006.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU04156.7	CT20.5_protein	0.8954715367323469	False	20.5	protein	Lipid-Biosynthesis
NCU06207.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU01333.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU01175.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU02571.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU03922.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU00712.7	CT20.5_protein	0.8954715367323469	False	20.5	protein	Lipid-Biosynthesis
NCU03633.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU08671.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU11381.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU07719.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU06054.7	CT20.5_protein	0.3843385246743412	False	20.5	protein	Lipid-Biosynthesis
NCU08280.7	CT20.5_protein	0.38433852467434215	False	20.5	protein	Lipid-Biosynthesis
NCU01141.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU01371.7	CT20.5_protein		False	20.5	protein	Lipid-Biosynthesis
NCU01119.7	CT20.5_protein	0.38433852467434215	False	20.5	protein	Lipid-Biosynthesis
Average	CT20.5_protein	0.740154810015688	True	20.5	protein	Lipid-Biosynthesis
NCU06694.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU08976.7	CT22.7_RNA	1.4383711467890776	False	22.7	RNA	Lipid-Biosynthesis
NCU08927.7	CT22.7_RNA	0.06030737921409201	False	22.7	RNA	Lipid-Biosynthesis
NCU02468.7	CT22.7_RNA	0.06030737921409201	False	22.7	RNA	Lipid-Biosynthesis
NCU06870.7	CT22.7_RNA	0.8954715367323458	False	22.7	RNA	Lipid-Biosynthesis
NCU00447.7	CT22.7_RNA	1.848048096156426	False	22.7	RNA	Lipid-Biosynthesis
NCU00302.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU06465.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU06761.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU00008.7	CT22.7_RNA	0.021852399266194644	False	22.7	RNA	Lipid-Biosynthesis
NCU02969.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU10359.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU04721.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU07937.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU03504.7	CT22.7_RNA	0.8954715367323469	False	22.7	RNA	Lipid-Biosynthesis
NCU07761.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU02282.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU03492.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU06342.7	CT22.7_RNA	0.06030737921409191	False	22.7	RNA	Lipid-Biosynthesis
NCU10400.7	CT22.7_RNA	2.0	False	22.7	RNA	Lipid-Biosynthesis
NCU03955.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU02726.7	CT22.7_RNA	0.06030737921409191	False	22.7	RNA	Lipid-Biosynthesis
NCU04289.7	CT22.7_RNA	0.3843385246743412	False	22.7	RNA	Lipid-Biosynthesis
NCU05259.7	CT22.7_RNA	0.8954715367323469	False	22.7	RNA	Lipid-Biosynthesis
NCU02408.7	CT22.7_RNA	0.38433852467434215	False	22.7	RNA	Lipid-Biosynthesis
NCU02209.7	CT22.7_RNA	0.8954715367323469	False	22.7	RNA	Lipid-Biosynthesis
NCU09497.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU03929.7	CT22.7_RNA	2.0	False	22.7	RNA	Lipid-Biosynthesis
NCU03176.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU03880.7	CT22.7_RNA		False	22.7	RNA	Lipid-Biosynthesis
NCU01993.7	CT22.7_RNA	0.8954715367323469	False	22.7	RNA	Lipid-Biosynthesis
